magnitude,cdi,mmi,sig,nst,dmin,gap,depth,latitude,longitude,Year,Month,tsunami
6.6,6,7,723,0,0.636,31,27,-30.2921,-71.5215,2013,10,1
7.1,6,4,872,0,3.968,10,35,37.1557,144.661,2013,10,1
6.6,8,5,692,0,1.98,44,9.45,26.0913,-110.321,2013,10,1
6.8,0,6,711,0,5.79,9,35,-6.4456,154.931,2013,10,1
7.1,9,8,1092,0,3.144,12,19.04,9.8796,124.117,2013,10,1
6.6,5,6,691,0,1.984,40,40,35.5142,23.2523,2013,10,0
6.7,0,3,691,0,2.958,11,573,53.1995,152.786,2013,10,0
6.5,0,4,650,0,1.709,21,41.54,-30.9255,-178.323,2013,9,1
6.8,7,7,1005,0,7.359,17,12,27.1825,65.5052,2013,9,0
7.1,8,7,843,0,4.446,17,40,-15.8385,-74.5112,2013,9,1
7.7,5,8,2015,0,7.241,17,15,26.951,65.5009,2013,9,0
6.5,0,6,650,0,0.735,24,20,51.5573,-174.767,2013,9,1
6.5,5,3,739,0,3.276,26,402,29.9377,138.833,2013,9,0
6.5,4,5,668,0,3.097,11,112,-7.44,128.221,2013,9,0
7,5,6,758,0,0.624,53,29,51.537,-175.23,2013,8,0
6.5,9,7,690,0,0,0,8.2,-41.734,174.152,2013,8,1
6.7,4,5,715,0,3.741,22,12,5.7732,-78.1999,2013,8,1
6.5,6,7,693,229,0,20,17,-41.704,174.337,2013,7,1
7.3,0,6,820,398,0,43,11,-60.857,-25.07,2013,7,1
6.6,4,6,674,139,0,14,56,-6.029,149.706,2013,7,0
7.3,0,4,820,117,0,24,385.5,-3.917,153.927,2013,7,1
6.6,0,7,670,111,0,16,10,10.701,-42.594,2013,6,1
6.5,5,6,679,698,0,27,30,11.763,-86.926,2013,6,1
6.7,5,4,710,515,0,24,9,-10.004,107.236,2013,6,0
6.7,0,3,691,217,0,25.2,624,52.235,151.444,2013,5,1
8.3,5,5,1115,385,0,10,598.1,54.892,153.221,2013,5,1
7.4,0,6,842,626,0,16,173.7,-23.009,-177.232,2013,5,1
6.8,0,3,711,131,0,18,602.2,18.728,145.288,2013,5,0
6.5,0,6,650,264,0,16.6,10,-3.898,152.127,2013,4,1
6.6,8,8,2083,548,0,12.6,14,30.308,102.888,2013,4,0
7.2,5,7,804,770,0,10.1,110,46.221,150.788,2013,4,1
6.6,7,7,672,445,0,11,13,-3.214,142.542,2013,4,1
7.7,8,8,1421,506,0,26.6,80,28.033,61.996,2013,4,0
6.6,0,5,670,491,0,11.5,31,-6.475,154.607,2013,4,1
7,3,7,755,640,0,11.4,66,-3.517,138.476,2013,4,1
6.5,0,6,650,317,0,14.2,28,-6.598,148.174,2013,3,1
6.5,3,6,651,480,0,20.7,29,50.958,157.408,2013,3,0
6.9,5,6,736,531,0,20.7,41,50.954,157.283,2013,2,1
6.6,0,7,670,697,0,15.3,11,67.631,142.508,2013,2,1
6.6,0,6,670,421,0,16.6,18,-10.994,165.741,2013,2,1
6.9,5,5,904,562,0,23.7,145,1.135,-77.393,2013,2,1
7.1,9,6,780,334,0,16.5,21,-10.928,166.018,2013,2,1
6.8,0,7,711,400,0,17.5,12,-10.838,165.969,2013,2,1
6.7,0,6,691,387,0,26.5,11,-10.997,165.655,2013,2,1
7,0,6,754,445,0,17.5,8.8,-10.499,165.588,2013,2,0
7.1,0,5,776,550,0,18.4,10,-11.183,164.882,2013,2,0
8,8,7,993,460,0,20.9,24,-10.799,165.114,2013,2,1
6.9,6,7,814,686,0,28,107,42.77,143.092,2013,2,0
6.8,6,7,771,596,0,19.3,45,-28.094,-70.653,2013,1,0
7.5,6,6,1425,0,0,0,8.7,55.228,-134.859,2013,1,0
6.7,0,4,691,521,0,13.7,200.7,-14.344,167.286,2012,12,0
7.1,5,5,843,517,0,8.7,155,-6.533,129.825,2012,12,0
7.3,6,5,1014,918,0,14.8,31,37.89,143.949,2012,12,0
6.5,4,5,708,598,0,57.3,20,14.129,-92.164,2012,11,0
6.8,7,6,795,391,0,13.7,13.7,23.005,95.885,2012,11,0
7.4,8,7,1455,751,0,25.5,24,13.988,-91.895,2012,11,0
7.8,8,7,1726,807,0,42.7,14,52.788,-132.101,2012,10,0
6.5,6,6,745,691,0,34.4,17,10.086,-85.298,2012,10,0
6.6,3,5,675,291,0,17.7,13,-4.892,134.03,2012,10,0
7.3,7,6,1221,934,0,15.5,170,1.929,-76.362,2012,9,0
7.6,8,7,1555,703,0,34.3,35,10.085,-85.315,2012,9,0
7.6,8,5,1115,682,0,10.2,28,10.811,126.638,2012,8,0
7.3,5,5,994,417,0,37,28,12.139,-88.59,2012,8,0
6.6,4,5,678,497,0,14.6,91.1,2.19,126.837,2012,8,0
7.7,7,4,941,862,0,13.8,583.2,49.8,145.064,2012,8,0
6.5,5,6,653,576,0,11.7,41,-4.651,153.173,2012,7,0
6.6,4,5,675,529,0,15.7,134.7,-18.685,-174.705,2012,4,0
6.7,0,7,691,370,0,15.4,16,-1.617,134.276,2012,4,0
6.8,6,5,732,597,0,12.6,198,-5.462,147.117,2012,4,0
6.7,0,7,691,518,0,26.9,29,-32.625,-71.365,2012,4,0
7,7,7,1000,474,0,95.9,13,28.696,-113.104,2012,4,0
6.5,7,6,1171,599,0,54.1,20,18.229,-102.689,2012,4,0
8.2,9,6,1213,341,0,14.9,25.1,0.802,92.463,2012,4,0
8.6,9,7,2048,499,0,16.6,20,2.327,93.063,2012,4,0
7.1,7,7,1496,553,0,15.2,40.7,-35.2,-72.217,2012,3,0
6.6,6,6,709,640,0,10.1,118,-6.242,145.955,2012,3,0
7.4,9,8,1752,672,0,37.9,20,16.493,-98.231,2012,3,0
6.7,7,7,833,596,0,13.4,12,51.708,95.991,2012,2,0
6.7,9,7,1551,572,0,11.1,11,9.999,123.206,2012,2,0
7.1,5,5,793,573,0,12,23,-17.827,167.133,2012,2,0
7.2,4,4,838,443,0,17,19,2.433,93.21,2012,1,0
6.6,0,7,670,545,0,17.6,15,51.842,95.911,2011,12,0
7.1,6,6,834,485,0,10.6,135,-7.551,146.809,2011,12,0
6.5,8,7,1400,578,0,38.6,59,17.986,-99.789,2011,12,0
6.9,6,7,847,474,0,46.5,24,-14.438,-75.966,2011,10,0
7.1,9,9,1096,693,0,19.7,18,38.721,43.508,2011,10,0
6.5,3,6,655,423,0,12.6,37,-6.57,147.881,2011,10,0
6.9,8,8,1562,383,0,13,50,27.73,88.155,2011,9,0
6.7,5,5,712,667,0,10.9,30,40.273,142.779,2011,9,0
6.7,5,6,915,447,0,15.3,91,2.965,97.893,2011,9,0
7,7,5,761,406,0,15.3,185.1,-20.671,169.716,2011,9,0
7,6,6,913,471,0,26.9,147,-7.641,-74.525,2011,8,0
7.1,5,6,787,564,0,12.3,28,-18.311,168.218,2011,8,0
6.5,0,5,650,322,0,15,35,-18.308,168.156,2011,8,0
7.2,8,6,813,280,0,18.4,32,-18.365,168.143,2011,8,0
6.6,3,6,674,229,0,16.6,10,-3.518,144.828,2011,7,0
7.6,3,7,893,567,0,33.5,17,-29.539,-176.34,2011,7,0
6.7,6,6,749,592,0,24.9,33,39.955,142.205,2011,6,0
6.8,4,5,734,519,0,12.5,11,-20.244,168.226,2011,5,0
6.8,5,6,719,445,0,13,79,-10.375,161.2,2011,4,0
6.6,7,7,822,586,0,10.1,11,37.001,140.401,2011,4,0
7.1,8,8,1114,446,0,17.7,42,38.276,141.588,2011,4,0
6.6,7,6,897,518,0,37.2,166.2,17.208,-94.338,2011,4,0
6.9,7,9,1154,335,0,18.2,8,20.687,99.822,2011,3,0
6.6,6,5,673,668,0,9.5,25.7,39.241,142.463,2011,3,0
6.5,0,4,650,369,0,18.7,6.8,36.166,141.562,2011,3,0
7.7,7,4,931,507,0,10.8,18.6,38.058,144.59,2011,3,0
7.9,8,7,1140,163,0,48.4,42.6,36.281,141.111,2011,3,0
9.1,9,8,2184,541,0,9.5,29,38.297,142.373,2011,3,0
7.3,5,5,972,550,0,17.4,32,38.435,142.842,2011,3,0
6.7,5,6,731,358,0,33.9,21,-35.38,-72.834,2011,2,0
6.9,7,7,988,382,0,34.7,26,-36.422,-72.96,2011,2,0
7.2,7,7,1449,372,0,25.3,68,28.777,63.951,2011,1,0
7,2,5,755,578,0,13.3,9,-20.628,168.471,2011,1,0
7.2,8,7,1054,397,0,30.1,24,-38.355,-73.326,2011,1,0
7.3,0,5,820,409,0,12,16,-19.702,167.947,2010,12,0
6.7,3,7,708,279,0,24.3,12,28.412,59.18,2010,12,0
6.6,0,6,670,306,0,18.5,33,-6.001,149.977,2010,12,0
7.8,4,7,946,379,0,23,20.1,-3.487,100.082,2010,10,0
6.7,5,5,776,352,0,50.3,13,24.696,-109.156,2010,10,0
7,8,5,772,271,0,15.1,26,-4.963,133.76,2010,9,0
7,8,8,1245,365,0,15.8,12,-43.522,171.83,2010,9,0
7.1,6,5,945,672,0,12.4,206.7,-1.266,-77.306,2010,8,0
7.3,7,7,850,405,0,20.2,25,-17.541,168.069,2010,8,0
7,4,6,757,396,0,12.7,44,-5.746,150.765,2010,8,0
6.5,5,4,659,403,0,11.1,220,-5.486,146.822,2010,8,0
7.6,5,3,902,340,0,15.1,578,6.497,123.48,2010,7,0
7.3,8,7,831,397,0,18.2,35,-5.931,150.59,2010,7,0
6.9,4,7,737,456,0,15.7,28,-5.966,150.428,2010,7,0
6.6,6,7,753,295,0,52.8,22,-38.067,-73.31,2010,7,0
6.7,5,6,696,392,0,18.7,35,-10.627,161.447,2010,6,0
6.6,0,7,670,309,0,25,10.5,-2.329,136.484,2010,6,0
7,3,7,755,307,0,18.1,18,-2.174,136.543,2010,6,0
7.5,6,5,1144,514,0,18.6,35,7.881,91.936,2010,6,0
7.2,5,6,804,327,0,11.7,31,-13.698,166.643,2010,5,0
7.2,5,6,918,611,0,20.6,38,3.748,96.018,2010,5,0
6.9,6,9,773,410,0,14.9,17,33.165,96.548,2010,4,0
6.9,4,5,740,399,0,12.1,21,-10.878,161.116,2010,4,0
7.8,0,7,936,352,0,19.2,31,2.383,97.048,2010,4,0
7.2,9,9,2910,10,0.5137,239,9.987,32.2862,-115.295,2010,4,0
6.6,5,6,701,413,0,16.7,34,13.667,92.831,2010,3,0
6.7,5,6,856,312,0,34.7,18,-36.217,-73.257,2010,3,0
6.5,6,5,810,491,0,27,32,37.745,141.59,2010,3,0
7,7,7,874,403,0,17.1,18,-34.326,-71.799,2010,3,0
6.9,7,7,1280,415,0,12.5,11,-34.29,-71.891,2010,3,0
6.8,4,6,717,401,0,23.2,26,-3.762,100.991,2010,3,0
6.6,7,7,736,255,0,27.8,18,-36.665,-73.374,2010,3,0
6.5,0,4,650,426,0,18.7,176,-13.571,167.227,2010,3,0
7.4,0,5,842,409,0,17.6,35,-37.773,-75.048,2010,2,0
8.8,8,8,1991,454,0,17.8,22.9,-36.122,-72.898,2010,2,0
7,6,6,1180,487,0,15.7,25,25.93,128.425,2010,2,0
7,9,9,1623,500,0,22.7,13,18.443,-72.571,2010,1,0
6.5,7,7,1360,51,0.3225,220,28.737,40.652,-124.692,2010,1,0
6.8,3,6,713,338,0,15,15.4,-9.019,157.551,2010,1,0
7.1,5,7,780,377,0,15,10,-8.783,157.354,2010,1,0
6.6,5,7,672,282,0,16.6,10,-8.726,157.487,2010,1,0
6.5,6,7,698,390,0,17.7,27,-19.394,-70.321,2009,11,0
7.3,0,4,820,430,0,15,595,-17.239,178.331,2009,11,0
6.6,7,6,677,305,0,20.4,18,-8.207,118.631,2009,11,0
6.8,0,6,711,424,0,21.4,34,29.218,129.782,2009,10,0
6.9,4,6,972,397,0,11,130,-6.133,130.385,2009,10,0
6.8,0,5,711,174,0,30.2,35,-13.298,165.91,2009,10,0
7.4,0,7,842,314,0,20.2,31.1,-13.093,166.497,2009,10,0
7.8,0,6,936,195,0,20.3,35,-12.517,166.382,2009,10,0
7.7,4,7,916,283,0,23.2,45,-13.006,166.51,2009,10,0
6.6,7,7,787,417,0,30.1,9,-2.482,101.524,2009,10,0
7.6,8,8,1639,498,0,14,81,-0.72,99.867,2009,9,0
8.1,7,6,1055,520,0,20.8,18,-15.489,-172.095,2009,9,0
7,7,7,1175,312,0,16.3,46,-7.782,107.297,2009,9,0
6.7,5,6,753,369,0,14.9,20,-1.479,99.49,2009,8,0
6.6,4,5,703,336,0,14.1,53,32.821,140.395,2009,8,0
7.5,7,6,1248,303,0,18.2,24,14.099,92.902,2009,8,0
7.1,5,4,1005,447,0,14.2,292,33.167,137.944,2009,8,0
6.9,5,7,1202,243,0,35,10,29.039,-112.903,2009,8,0
7.8,6,8,1165,434,0,16.8,12,-45.762,166.562,2009,7,0
6.7,5,5,693,269,0,13.8,64,-5.157,153.782,2009,6,0
7.3,7,8,1560,464,0,27.2,19,16.731,-86.217,2009,5,0
7.6,7,5,916,504,0,14,31,-23.043,-174.66,2009,3,0
7.2,3,7,802,432,0,18.6,20,3.886,126.387,2009,2,0
7.4,7,7,846,314,0,21.1,23,-0.691,133.305,2009,1,0
6.6,5,4,765,344,0,22.6,204.8,36.419,70.743,2009,1,0
7.7,5,7,918,288,0,29.8,17,-0.414,132.885,2009,1,0
7.4,9,7,848,365,0,33.7,30,1.271,122.091,2008,11,0
6.7,5,6,731,481,0,28.6,24,14.423,-92.364,2008,10,0
6.7,0,6,691,529,0,22.3,27.4,39.533,73.824,2008,10,0
6.8,0,6,711,500,0,22.2,25,41.892,143.754,2008,9,0
6.6,0,6,670,463,0,14.1,96,1.885,127.363,2008,9,0
6.9,0,6,732,531,0,14.9,110,-13.501,166.967,2008,9,0
6.7,4,7,692,325,0,28,12,30.901,83.52,2008,8,0
6.8,8,7,1046,633,0,20.2,108,39.802,141.464,2008,7,0
7,5,5,840,577,0,18.2,22,37.552,142.214,2008,7,0
6.9,5,5,825,0,0,0,25.5,37.55,142.714,2008,7,0
6.6,4,5,680,630,0,18.4,17,11.005,91.824,2008,6,0
6.9,7,8,888,654,0,17.1,7.8,39.03,140.881,2008,6,0
7.9,9,9,1870,774,0,11.3,19,31.002,103.322,2008,5,0
6.9,5,5,910,519,0,21.1,27,36.164,141.526,2008,5,0
7.3,0,6,820,486,0,13.4,33,-20.071,168.892,2008,4,0
7.2,0,7,798,532,0,25.9,10,35.49,81.467,2008,3,0
6.9,4,5,740,544,0,25.9,24,13.351,125.63,2008,3,0
6.7,5,6,696,543,0,15.1,25,-2.245,99.808,2008,2,0
6.6,4,6,674,421,0,17.7,25,-2.332,99.891,2008,2,0
7.2,4,7,832,505,0,18.4,25,-2.486,99.972,2008,2,0
6.5,4,6,654,429,0,28.3,22,-2.405,99.931,2008,2,0
7.4,5,7,914,607,0,16.4,26,2.768,95.964,2008,2,0
6.5,8,5,692,650,0,30.7,28,36.345,21.863,2008,2,0
6.9,6,6,941,645,0,30.6,29,36.501,21.67,2008,2,0
6.5,7,6,723,521,0,27.6,83,16.357,-94.304,2008,2,0
6.6,7,6,808,461,0,18.8,20,-39.011,178.291,2007,12,0
6.7,5,7,704,481,0,30.3,45,-22.954,-70.182,2007,12,0
7.4,7,7,1542,663,0,13.4,156,14.944,-61.274,2007,11,0
6.6,3,6,672,280,0,26.9,16,-10.95,162.149,2007,11,0
6.5,5,7,653,272,0,27.6,18,-8.224,118.467,2007,11,0
6.5,7,7,657,353,0,27.5,20,-8.292,118.37,2007,11,0
6.8,6,6,722,341,0,15.9,53,-5.757,147.098,2007,11,0
6.8,7,6,790,649,0,27,122.9,-2.312,-77.838,2007,11,0
6.8,6,7,716,285,0,40.1,26,-22.925,-70.237,2007,11,0
7.7,8,7,995,610,0,22.4,40,-22.247,-69.89,2007,11,0
6.8,3,5,713,494,0,23.9,21,-3.899,101.02,2007,10,0
6.8,4,7,744,338,0,19,18,-44.796,167.553,2007,10,0
6.8,4,5,713,348,0,15.5,40,-4.99,153.5,2007,9,0
6.7,3,5,696,503,0,26.9,30,-1.999,100.141,2007,9,0
7,4,7,768,537,0,23.1,22,-2.13,99.627,2007,9,0
6.5,0,5,650,409,0,26.2,28.9,-1.689,99.668,2007,9,0
7.9,8,7,1133,446,0,29.1,35,-2.625,100.841,2007,9,0
7.8,7,8,1152,0,0,0,40.5,-2.52,100.139,2007,9,0
8.4,0,6,1086,411,0,32.3,34,-4.438,101.367,2007,9,0
6.8,5,6,747,653,0,17.6,15,2.966,-77.963,2007,9,0
7.2,0,5,798,312,0,21.3,35,-11.61,165.762,2007,9,0
6.5,5,6,675,382,0,12.8,15,-9.834,159.465,2007,8,0
8,9,8,1385,625,0,25.7,39,-13.386,-76.603,2007,8,0
7.5,0,5,865,228,0,30.7,280,-5.859,107.419,2007,8,0
7.2,7,7,803,494,0,20.4,120,-15.595,167.68,2007,8,0
6.9,3,5,734,374,0,24.1,25,2.872,127.464,2007,7,0
6.8,5,4,779,664,0,18.2,350.4,36.808,134.85,2007,7,0
6.6,8,8,831,782,0,16.7,12,37.535,138.446,2007,7,0
6.7,6,6,972,468,0,37.7,23,13.554,-90.618,2007,6,0
6.9,0,7,732,305,0,15.3,10,-7.306,155.741,2007,4,0
6.6,0,7,670,251,0,16,10,-7.169,155.777,2007,4,0
8.1,9,8,1025,439,0,14.7,24,-8.466,157.043,2007,4,0
6.7,7,8,782,493,0,23.9,8,37.336,136.588,2007,3,0
7.1,3,6,779,426,0,25.3,34,-20.617,169.357,2007,3,0
6.7,0,6,691,253,0,40.3,12,-1.034,126.976,2007,2,0
7.5,6,5,874,570,0,21.6,22,1.065,126.282,2007,1,0
8.1,4,5,1034,606,0,14,10,46.243,154.524,2007,1,0
6.9,6,7,798,466,0,31.6,10,21.974,120.493,2006,12,0
7.1,8,7,1023,744,0,29.1,10,21.799,120.547,2006,12,0
8.3,4,7,1064,576,0,20.9,10,46.592,153.266,2006,11,0
6.6,0,6,670,352,0,18.6,11,-6.482,151.195,2006,11,0
6.7,5,6,732,444,0,53.4,23,-13.457,-76.677,2006,10,0
6.7,5,6,692,533,0,15.6,32,-5.881,150.982,2006,10,0
6.7,8,9,1481,43,0,124,38.182,19.877,-155.935,2006,10,0
6.9,3,3,737,702,0,20.9,28,-16.592,-172.033,2006,9,0
6.8,0,6,711,459,0,28.4,38,-6.759,155.512,2006,9,0
6.5,0,6,650,700,0,47.4,43,51.148,157.522,2006,8,0
6.8,5,5,713,551,0,26.2,150,-15.798,167.789,2006,8,0
7.7,7,5,947,357,0,36.8,20,-9.284,107.419,2006,7,0
6.5,0,6,650,477,0,20.3,34,-5.724,151.133,2006,5,0
6.6,0,7,670,548,0,28,19,60.772,165.743,2006,5,0
6.8,4,5,719,701,0,16.3,12,0.093,97.05,2006,5,0
8,7,7,1013,626,0,20.7,55,-20.187,-174.123,2006,5,0
8,8,9,1026,0,0,0,60.5,-19.99,-173.907,2006,5,0
6.5,7,7,653,282,0,46.3,12,-27.211,-71.056,2006,4,0
6.7,6,7,696,277,0,25.6,12,-27.017,-71.022,2006,4,0
6.6,0,8,670,645,0,28.4,11,60.491,167.516,2006,4,0
7.6,0,8,889,579,0,18.5,22,60.949,167.089,2006,4,0
6.5,3,5,654,247,0,25.5,14,-16.527,176.989,2006,4,0
6.7,0,7,691,306,0,21.3,30.1,-3.595,127.214,2006,3,0
7,5,9,891,412,0,23.2,11,-21.324,33.583,2006,2,0
6.7,7,6,934,769,0,19.7,66,36.311,23.212,2006,1,0
6.6,7,6,703,323,0,48.2,14,28.164,-112.117,2006,1,0
6.5,6,5,721,529,0,20.5,224.6,36.357,71.093,2005,12,0
6.8,5,7,744,561,0,20,22,-6.224,29.83,2005,12,0
6.5,4,5,683,464,0,48.8,29,38.089,142.122,2005,12,0
6.5,3,6,651,358,0,20.7,21,2.164,96.786,2005,11,0
6.8,0,6,711,509,0,30.1,147,-22.361,-67.895,2005,11,0
7.6,9,9,1267,724,0,21.1,26,34.539,73.588,2005,10,0
6.6,0,6,670,402,0,17.7,25,-5.437,151.84,2005,9,0
7.5,8,7,1018,696,0,26.2,115,-5.678,-76.398,2005,9,0
7.6,5,7,891,502,0,20,90,-4.539,153.474,2005,9,0
7.2,7,7,1104,698,0,19.6,36,38.276,142.039,2005,8,0
7.2,4,5,808,636,0,26.4,16,7.92,92.19,2005,7,0
6.7,3,6,693,398,0,22.3,21,1.819,97.082,2005,7,0
6.6,6,5,719,446,0,21.1,27,11.245,-86.172,2005,7,0
7.2,5,4,1318,420,0,31.4,16,41.292,-125.953,2005,6,0
7.8,8,7,1020,714,0,16.1,115.6,-19.987,-69.197,2005,6,0
6.9,5,7,740,635,0,26,30,1.989,97.041,2005,5,0
6.7,6,5,731,695,0,20.9,34,0.587,98.459,2005,5,0
6.5,3,6,657,478,0,21.2,30,-1.714,99.779,2005,4,0
6.7,5,6,717,656,0,21.2,19,-1.644,99.607,2005,4,0
8.6,0,8,1138,510,0,22.1,30,2.085,97.108,2005,3,0
6.6,8,7,805,401,0,22.9,10,33.807,130.131,2005,3,0
7.1,0,5,776,569,0,18.1,201.7,-6.527,129.933,2005,3,0
6.8,0,6,711,444,0,33.8,36,2.908,95.592,2005,2,0
6.5,0,7,650,371,0,31.8,10,-5.562,122.129,2005,2,0
6.5,3,5,652,286,0,47.3,39.7,4.756,126.421,2005,2,0
6.7,0,4,691,457,0,30.2,206.3,-14.252,167.259,2005,2,0
7.1,7,3,782,640,0,26.4,525,5.293,123.337,2005,2,0
6.6,6,4,676,225,0,78.5,27.8,34.064,141.491,2005,1,0
6.6,0,5,670,353,0,31.9,16.1,8.879,92.375,2004,12,0
7.2,5,6,802,385,0,27.9,39.2,6.91,92.958,2004,12,0
9.1,0,8,1274,601,0,22,30,3.295,95.982,2004,12,0
8.1,0,5,1009,331,0,59.3,10,-49.312,161.345,2004,12,0
6.8,5,6,858,639,0,21.8,10,18.958,-81.409,2004,12,0
6.8,4,7,724,759,0,23.6,35,42.9,145.228,2004,12,0
7,4,7,771,929,0,23.9,39,43.006,145.119,2004,11,0
7.1,0,7,776,439,0,28.8,10,-3.609,135.404,2004,11,0
7.1,5,5,782,585,0,14.7,10,-46.676,164.721,2004,11,0
7.2,8,8,820,708,0,50.2,15,4.695,-77.508,2004,11,0
7.5,5,7,870,301,0,33.8,10,-8.152,124.868,2004,11,0
6.7,0,6,691,233,0,21.5,10,-11.128,162.208,2004,11,0
6.7,7,4,703,459,0,37.3,10,49.277,-128.772,2004,11,0
6.6,0,8,670,782,0,37,16,37.226,138.779,2004,10,0
6.7,5,6,705,698,0,24.7,94,24.53,122.694,2004,10,0
7,0,6,754,441,0,32.2,35,11.422,-86.665,2004,10,0
6.5,5,5,665,526,0,18.3,105,13.925,120.534,2004,10,0
6.8,0,6,711,545,0,15.7,36,-10.951,162.161,2004,10,0
6.6,0,4,670,478,0,29.8,10,33.205,137.227,2004,9,0
7.4,0,5,842,594,0,27.5,10,33.184,137.071,2004,9,0
7.2,0,5,798,643,0,28.4,14,33.07,136.618,2004,9,0
6.5,0,7,650,349,0,30.1,5,-35.173,-70.525,2004,8,0
6.5,0,7,650,305,0,39,13.4,-0.443,133.091,2004,7,0
6.9,0,5,732,798,0,31.2,188.6,55.682,160.003,2004,6,0
6.6,0,7,670,282,0,46.9,21,-37.695,-73.406,2004,5,0
6.7,0,5,691,386,0,27.6,65.8,-9.362,122.839,2004,4,0
6.5,0,4,650,424,0,29.9,228.4,-13.174,167.198,2004,4,0
6.6,0,4,670,728,0,18.3,187.1,36.512,71.029,2004,4,0
6.7,0,7,691,256,0,33.3,25.7,-3.665,135.339,2004,2,0
7.3,0,7,820,390,0,23,10,-4.003,135.023,2004,2,0
7,0,7,754,367,0,33,16.6,-3.615,135.538,2004,2,0
6.7,0,6,691,243,0,42.5,17.4,-3.12,127.4,2004,1,0
7.3,0,4,820,235,0,46.6,10,-22.015,169.766,2003,12,0
6.6,0,9,670,552,0,44.8,10,28.995,58.311,2003,12,0
6.5,0,6,650,405,0,48.4,33,8.416,-82.824,2003,12,0
6.5,7,9,1390,65,0.04685,71,8.382,35.7005,-121.101,2003,12,0
6.8,0,7,711,447,0,27.7,10,23.039,121.362,2003,12,0
6.6,0,6,670,384,0,25.1,35,-5.581,150.88,2003,11,0
6.5,0,6,650,487,0,45.9,35,12.025,125.416,2003,11,0
6.6,0,5,670,475,0,26.2,113.7,-19.262,168.892,2003,11,0
7,0,5,754,568,0,61.2,10,37.812,142.619,2003,10,0
6.7,0,6,691,556,0,55.4,32,42.648,144.57,2003,10,0
6.7,0,7,691,643,0,24.5,10,50.211,87.721,2003,10,0
6.5,0,5,650,586,0,71.3,25,42.45,144.38,2003,9,0
7.3,0,7,820,667,0,24.5,16,50.038,87.813,2003,9,0
7.4,0,7,842,514,0,78.8,33,41.774,143.593,2003,9,0
8.16,0,9,1024,0,0,0,27,41.815,143.91,2003,9,0
6.6,0,7,670,518,0,24.7,10,19.917,95.672,2003,9,0
7.2,0,7,798,428,0,17.5,28,-45.104,167.144,2003,8,0
7.6,0,6,889,315,0,25.2,10,-60.532,-43.411,2003,8,0
6.5,0,6,650,156,0,31.4,33,-3.828,152.174,2003,7,0
6.8,0,7,711,398,0,39.1,33,-30.608,-71.637,2003,6,0
6.9,0,5,732,733,0,26.7,174.8,55.492,159.999,2003,6,0
6.6,0,6,670,419,0,27.8,33,-5.095,152.502,2003,6,0
7,0,6,754,473,0,30.3,31,2.354,128.855,2003,5,0
7,0,7,754,690,0,19.1,68,38.849,141.568,2003,5,0
6.8,0,9,711,534,0,19.4,12,36.964,3.634,2003,5,0
6.5,0,7,650,247,0,28.7,33,-8.294,120.743,2003,3,0
6.8,0,7,711,431,0,38.4,40.2,-4.694,153.238,2003,3,0
7.6,0,7,889,551,0,0,24,18.77,-104.104,2003,1,0
6.5,0,6,650,316,0,0,24,13.626,-90.774,2003,1,0
7.3,0,6,820,457,0,0,33,-10.491,160.77,2003,1,0
6.7,0,5,691,323,0,0,71.9,-5.311,153.701,2003,1,0
6.7,0,6,691,453,0,0,34,-4.786,153.275,2002,12,0
7.9,8,9,1750,0,0,0,4.2,63.5141,-147.453,2002,11,0
7.4,0,7,842,418,0,0,30,2.824,96.085,2002,11,0
6.6,0,7,670,0,0,0,4.2,63.5144,-147.912,2002,10,0
6.7,0,7,691,250,0,0,10,-1.511,133.973,2002,10,0
7.6,0,7,889,375,0,0,10,-1.757,134.297,2002,10,0
6.5,0,6,650,646,0,0,21,13.036,93.068,2002,9,0
7.6,0,7,889,428,0,0,13,-3.302,142.945,2002,9,0
6.5,0,4,650,260,0,0,30,14.101,146.199,2002,8,0
6.5,0,7,650,533,0,0,10,7.929,-82.793,2002,7,0
6.5,0,8,650,555,0,0,10,35.626,49.047,2002,6,0
6.6,0,7,670,420,0,0,54,-30.805,-71.124,2002,6,0
6.7,0,5,691,272,0,0,33,-12.592,166.383,2002,6,0
7.1,0,7,776,257,0,0,85.7,13.088,144.619,2002,4,0
6.7,0,7,691,462,0,0,62,-27.535,-70.586,2002,4,0
6.8,0,6,711,292,0,0,24.9,16.985,-100.865,2002,4,0
7.1,0,6,776,550,0,0,32.8,24.279,122.179,2002,3,0
6.5,0,5,650,486,0,0,125.1,-21.663,-68.329,2002,3,0
7.5,0,7,865,321,0,0,31,6.033,124.249,2002,3,0
7.4,0,5,842,138,0,0,225.6,36.502,70.482,2002,3,0
6.6,0,6,670,444,0,0,39,-5.345,151.248,2002,2,0
6.5,0,7,650,482,0,0,5,38.573,31.271,2002,2,0
6.7,0,8,691,333,0,0,11,-3.212,142.427,2002,1,0
6.6,0,6,670,386,0,0,10,-17.664,168.004,2002,1,0
7.2,0,6,798,427,0,0,21,-17.6,167.856,2002,1,0
6.8,0,7,711,385,0,0,16,-9.613,159.53,2001,12,0
6.8,0,5,711,499,0,0,14,23.954,122.734,2001,12,0
6.5,0,5,650,605,0,0,123.8,39.402,141.089,2001,12,0
